#  Nr    Dist               Kx                 Ky                 Kz                 band1(1)           band2(1)           band3(1)           band4(1)           band5(0)           band6(0)           band7(0)           band8(0)           band9(0)           band10(0)          band11(0)          band12(0)         
  72     0.500000000000     0.205128210000     0.705128210000     0.997201877794    -2.294200000000    -2.294200000000     1.593900000000     1.593900000000    19.377600000000    19.377600000000    23.196800000000    23.196800000000    31.341600000000    31.341600000000    40.403200000000    40.403300000000
  73     0.500000000000     0.211538460000     0.711538460000     1.006267340282    -2.273200000000    -2.273200000000     1.551800000000     1.551800000000    19.593900000000    19.593900000000    22.995100000000    22.995100000000    31.313600000000    31.313600000000    40.384600000000    40.384600000000
  74     0.500000000000     0.217948720000     0.717948720000     1.015332816912    -2.254900000000    -2.254900000000     1.515500000000     1.515500000000    19.802300000000    19.802300000000    22.798900000000    22.798900000000    31.290000000000    31.290000000000    40.369000000000    40.369100000000
  75     0.500000000000     0.224358970000     0.724358970000     1.024398279401    -2.239500000000    -2.239500000000     1.484000000000     1.484000000000    19.994400000000    19.994400000000    22.612300000000    22.612300000000    31.269000000000    31.269000000000    40.351600000000    40.351700000000
  76     0.500000000000     0.230769230000     0.730769230000     1.033463756031    -2.227300000000    -2.227300000000     1.460300000000     1.460300000000    20.170000000000    20.170000000000    22.444100000000    22.444100000000    31.254000000000    31.254000000000    40.341800000000    40.341900000000
  77     0.500000000000     0.237179490000     0.737179490000     1.042529232661    -2.218500000000    -2.218500000000     1.443100000000     1.443100000000    20.314400000000    20.314400000000    22.304900000000    22.304900000000    31.243400000000    31.243400000000    40.334800000000    40.334900000000
  78     0.500000000000     0.243589740000     0.743589740000     1.051594695149    -2.213100000000    -2.213100000000     1.432800000000     1.432800000000    20.412200000000    20.412200000000    22.210200000000    22.210200000000    31.237000000000    31.237000000000    40.330600000000    40.330600000000
  79     0.500000000000     0.250000000000     0.750000000000     1.060660171780    -2.211300000000    -2.211300000000     1.429300000000     1.429300000000    20.447200000000    20.447200000000    22.176200000000    22.176200000000    31.234900000000    31.234900000000    40.329200000000    40.329200000000
  80     0.500000000000     0.250000000000     0.750000000000     1.060660171780    -2.211300000000    -2.211300000000     1.429300000000     1.429300000000    20.447200000000    20.447200000000    22.176200000000    22.176200000000    31.234900000000    31.234900000000    40.329200000000    40.329200000000
  81     0.496794870000     0.253205130000     0.750000000000     1.065192910095    -2.262000000000    -2.162400000000     1.380800000000     1.481400000000    20.386400000000    20.487500000000    22.174500000000    22.198800000000    31.154300000000    31.315100000000    40.236600000000    40.421400000000
  82     0.493589740000     0.256410260000     0.750000000000     1.069725648410    -2.311500000000    -2.118500000000     1.333400000000     1.539500000000    20.291400000000    20.523800000000    22.206700000000    22.226500000000    31.072500000000    31.396200000000    40.140200000000    40.516200000000
  83     0.490384620000     0.259615380000     0.750000000000     1.074258372583    -2.359600000000    -2.079400000000     1.287100000000     1.603600000000    20.168700000000    20.555900000000    22.259400000000    22.266700000000    30.989400000000    31.478000000000    40.040100000000    40.613500000000
  84     0.487179490000     0.262820510000     0.750000000000     1.078791110898    -2.406500000000    -2.044900000000     1.241800000000     1.673300000000    20.025100000000    20.584000000000    22.297400000000    22.347800000000    30.905100000000    31.560400000000    39.936200000000    40.713300000000
  85     0.483974360000     0.266025640000     0.750000000000     1.083323849214    -2.452000000000    -2.014900000000     1.197700000000     1.748200000000    19.866400000000    20.608000000000    22.340300000000    22.444200000000    30.819900000000    31.643200000000    39.828600000000    40.815500000000
  86     0.480769230000     0.269230770000     0.750000000000     1.087856587529    -2.496200000000    -1.989100000000     1.154600000000     1.829500000000    19.700500000000    20.628100000000    22.388600000000    22.551600000000    30.735300000000    31.726500000000    39.721600000000    40.920000000000
  87     0.477564100000     0.272435900000     0.750000000000     1.092389325844    -2.539100000000    -1.967100000000     1.112700000000     1.914000000000    19.524000000000    20.644600000000    22.440700000000    22.666700000000    30.648500000000    31.810000000000    39.606700000000    41.026500000000
  88     0.474358970000     0.275641030000     0.750000000000     1.096922064159    -2.580700000000    -1.948800000000     1.071900000000     2.002600000000    19.342800000000    20.657700000000    22.496900000000    22.787200000000    30.561100000000    31.893800000000    39.488300000000    41.135100000000
  89     0.471153850000     0.278846150000     0.750000000000     1.101454788332    -2.621000000000    -1.933800000000     1.032300000000     2.094900000000    19.158600000000    20.667700000000    22.556800000000    22.911400000000    30.473300000000    31.977700000000    39.366400000000    41.245500000000
  90     0.467948720000     0.282051280000     0.750000000000     1.105987526647    -2.660000000000    -1.921700000000     0.993800000000     2.190400000000    18.972900000000    20.674900000000    22.620000000000    23.038000000000    30.385100000000    32.061900000000    39.241300000000    41.357700000000
